name,phone,address,city,state,zip,latitude,longitude,county
ALBERTVILLE HIGH SCH,2568786580,402 E MCCORD AVE,ALBERTVILLE,AL,35950,34.263177,-86.205957,MARSHALL COUNTY
CLAYSVILLE JR HIGH SCH,2565824444,140 CLAYSVILLE SCHOOL RD,GUNTERSVILLE,AL,35976,34.407922,-86.271562,MARSHALL COUNTY
DOUGLAS HIGH SCH,2565932810,P O BOX 300,DOUGLAS,AL,35964,34.177006,-86.321189,MARSHALL COUNTY
KATE D SMITH DAR HIGH SCH,2567284238,6077 MAIN ST,GRANT,AL,35747,34.530618,-86.25287,MARSHALL COUNTY
BRINDLEE MT HIGH SCH,2567532800,994 SCANT CITY ROAD,GUNTERSVILLE,AL,35976,34.374022,-86.4233,MARSHALL COUNTY
HOOVER HIGH SCH,2054391200,1000 BUCCANEER DRIVE,HOOVER,AL,35244,33.343055,-86.840672,JEFFERSON COUNTY
SPAIN PARK HIGH SCH,2054391400,4700 JAGUAR DRIVE,HOOVER,AL,35242,33.392456,-86.728893,SHELBY COUNTY
HOOVER HIGH FRESHMAN CTR,2054391610,100 FLEMMING PARKWAY,HOOVER,AL,35244,33.3297,-86.8552,SHELBY COUNTY
BOB JONES HIGH SCH,2567722547,650 HUGHES RD,MADISON,AL,35758,34.719841,-86.741685,MADISON COUNTY
LEEDS HIGH SCH,2056994510,8404 GREENWAVE DRIVE,LEEDS,AL,35094,33.548165,-86.535973,JEFFERSON COUNTY
BOAZ HIGH SCH,2565932401,907 BROWN ST,BOAZ,AL,35957,34.21028,-86.165083,MARSHALL COUNTY
HEWITT-TRUSSVILLE HIGH SCH,2052283500,5275 TRUSSVILLE-CLAY ROAD,TRUSSVILLE,AL,35173,33.656786,-86.595386,JEFFERSON COUNTY
BENJAMIN RUSSELL HIGH SCH,2562348611,225 HEARD BLVD,ALEXANDER CITY,AL,35010,32.937766,-85.952182,TALLAPOOSA COUNTY
ANDALUSIA HIGH SCH,3342227569,701 THIRD ST,ANDALUSIA,AL,36420,31.31365,-86.470924,COVINGTON COUNTY
ANNISTON HIGH SCH,2562315010,1301 WOODSTOCK AVE,ANNISTON,AL,36207,33.661144,-85.821717,CALHOUN COUNTY
ARAB JR HIGH SCH,2565866074,911 OLD CULLMAN RD,ARAB,AL,35016,34.313105,-86.511202,MARSHALL COUNTY
ARAB HIGH SCH,2565866026,511 ARABIAN DR NE,ARAB,AL,35016,34.327029,-86.489591,MARSHALL COUNTY
ATHENS HIGH SCH,2562336613,P O BOX 109,ATHENS,AL,35612,34.802815,-86.951402,LIMESTONE COUNTY
ETOWAH HIGH SCH,2565388381,201 CASE AVE,ATTALLA,AL,35954,33.996639,-86.11089,ETOWAH COUNTY
SARALAND HIGH SCH,2516799405,1115 INDUSTRIAL PARKWAY,SARALAND,AL,36571,30.802074,-88.099884,MOBILE COUNTY
AUBURN HIGH SCH,3348874970,405 S DEAN RD,AUBURN,AL,36830,32.598505,-85.464738,LEE COUNTY
AUBURN JR HIGH SCH,3348871960,332 SAMFORD AVE,AUBURN,AL,36830,32.598795,-85.477704,LEE COUNTY
BILLINGSLEY HIGH SCH,2057551629,P O BOX 118,BILLINGSLEY,AL,36006,32.658629,-86.701512,AUTAUGA COUNTY
PRATTVILLE HIGH SCH,3343658804,1315 UPPER KINGSTON RD,PRATTVILLE,AL,36067,32.494787,-86.475993,AUTAUGA COUNTY
PRATTVILLE JR HIGH SCH,3343656697,1089 N CHESTNUT,PRATTVILLE,AL,36067,32.484665,-86.469618,AUTAUGA COUNTY
ROBERTSDALE HIGH SCH,2519474154,P O BOX 69,ROBERTSDALE,AL,36567,30.540469,-87.706718,BALDWIN COUNTY
FAIRHOPE HIGH SCH,2519288309,1 PIRATE DR,FAIRHOPE,AL,36532,30.498118,-87.88582,BALDWIN COUNTY
GULF SHORES HIGH SCH,2519684747,P O BOX 3729,GULF SHORES,AL,36547,30.268313,-87.674322,BALDWIN COUNTY
DAPHNE HIGH SCH,2516268787,9300 . LAWSON ROAD,DAPHNE,AL,36526,30.6402,-87.860741,BALDWIN COUNTY
FOLEY HIGH SCH,2519432221,1 PRIDE PL,FOLEY,AL,36535,30.381413,-87.689565,BALDWIN COUNTY
